Date,Category,Amount,Note
2025-03-01,Food,150.0,Lunch at college
2025-03-02,Transport,50.0,Bus to coaching
2025-03-03,Utilities,300.0,Electricity bill
2025-03-04,Shopping,400.0,T-shirt
2025-03-05,Food,120.0,Snacks
2025-03-06,Entertainment,250.0,Movie with friends
2025-03-07,Medical,200.0,Medicines
2025-03-08,Food,180.0,Weekend dinner
2025-03-09,Transport,70.0,Auto fare
2025-03-10,Utilities,320.0,Wi-Fi recharge
2025-03-11,Others,100.0,Stationery
2025-03-12,Food,160.0,Fast food
2025-03-13,Entertainment,300.0,Concert ticket
2025-03-14,Shopping,500.0,New jeans
2025-03-15,Food,140.0,Street food
2025-03-16,Medical,180.0,Painkillers
2025-03-17,Food,130.0,College canteen
2025-03-18,Transport,60.0,Rickshaw
2025-03-19,Shopping,200.0,Mobile cover
2025-03-20,Utilities,310.0,Water bill
2025-03-21,Others,90.0,Pens
2025-03-22,Entertainment,240.0,Arcade
2025-03-23,Food,190.0,Dinner out
2025-03-24,Transport,80.0,Metro
2025-03-25,Medical,300.0,Doctor visit
2025-03-26,Food,170.0,Sandwiches
2025-03-27,Utilities,350.0,Gas refill
2025-03-28,Entertainment,210.0,YouTube premium
2025-03-29,Shopping,450.0,Shirt
2025-03-30,Others,110.0,Photocopies
2025-03-31,Food,200.0,Pizza
2025-04-01,Food,160.0,Burger King
2025-04-02,Transport,55.0,Shared cab
2025-04-03,Utilities,280.0,Phone recharge
2025-04-04,Medical,230.0,Eye drops
2025-04-05,Shopping,500.0,College bag
2025-04-06,Food,180.0,Snacks
2025-04-07,Entertainment,220.0,Online game
2025-04-08,Others,120.0,Notebook
2025-04-09,Food,190.0,Dosa + juice
2025-04-10,Transport,70.0,Bike petrol
2025-04-11,Utilities,300.0,Electric bill
2025-04-12,Medical,260.0,Clinic visit
2025-04-13,Food,150.0,Subway
2025-04-14,Shopping,400.0,Jeans
2025-04-15,Entertainment,200.0,Movie
2025-04-16,Food,140.0,Rolls
2025-04-17,Others,90.0,Folder
2025-04-18,Utilities,330.0,Gas + water
2025-04-19,Food,160.0,Samosa + chai
2025-04-20,Transport,60.0,Auto to center
2025-04-21,Medical,180.0,Syrup
2025-04-22,Food,170.0,Ice cream
2025-04-21,Utilities,100.0,Study materials
2025-04-21,Shopping,250.0,buy a T-shirt
2025-04-21,Entertainment,20.0,bought game pass
2025-04-22,Transport,20.0,Uber
